id,category,value,pillar
81,Topic,Clean energy,Environmental
81,Topic,Climate action,Environmental
81,Topic,"Diversity, equity & inclusion",People & Culture
81,Topic,Education,People & Culture
81,Topic,Health & wellbeing,People & Culture
82,Topic,Climate action,Environmental
82,Topic,Education,People & Culture
82,Topic,"Diversity, equity & inclusion",People & Culture
82,Topic,Health & wellbeing,People & Culture
82,Topic,Clean energy,Environmental
82,Topic,Partnerships for sustainability,Value Chain
83,Topic,Health & wellbeing,People & Culture
83,Topic,"Diversity, equity & inclusion",People & Culture
83,Topic,Climate action,Environmental
84,Topic,Climate action,Environmental
84,Topic,Education,People & Culture
84,Topic,Health & wellbeing,People & Culture
84,Topic,Clean energy,Environmental
84,Topic,Partnerships for sustainability,Value Chain
85,Topic,Climate action,Environmental
85,Topic,Clean energy,Environmental
85,Topic,Health & wellbeing,People & Culture
85,Topic,"Diversity, equity & inclusion",People & Culture
86,Topic,Climate action,Environmental
86,Topic,Clean energy,Environmental
86,Topic,Partnerships for sustainability,Value Chain
87,Topic,Health & wellbeing,People & Culture
87,Topic,Education,People & Culture
87,Topic,"Diversity, equity & inclusion",People & Culture
87,Topic,Climate action,Environmental
87,Topic,Clean energy,Environmental
87,Topic,Partnerships for sustainability,Value Chain
88,Topic,Health & wellbeing,People & Culture
88,Topic,Climate action,Environmental
88,Topic,Clean energy,Environmental
89,Topic,Clean energy,Environmental
89,Topic,"Diversity, equity & inclusion",People & Culture
90,Topic,Clean energy,Environmental
90,Topic,Climate action,Environmental
90,Topic,Education,People & Culture
91,Topic,Health & wellbeing,People & Culture
91,Topic,Education,People & Culture
92,Topic,Health & wellbeing,People & Culture
92,Topic,Education,People & Culture
92,Topic,Climate action,Environmental
92,Topic,Clean energy,Environmental
93,Topic,"Diversity, equity & inclusion",People & Culture
93,Topic,Climate action,Environmental
93,Topic,Health & wellbeing,People & Culture
94,Topic,Health & wellbeing,People & Culture
94,Topic,Climate action,Environmental
94,Topic,Clean energy,Environmental
94,Topic,Partnerships for sustainability,Value Chain
95,Topic,Climate action,Environmental
95,Topic,"Diversity, equity & inclusion",People & Culture
95,Topic,Health & wellbeing,People & Culture
96,Topic,Education,People & Culture
96,Topic,Clean energy,Environmental
96,Topic,Health & wellbeing,People & Culture
97,Topic,Health & wellbeing,People & Culture
97,Topic,Climate action,Environmental
97,Topic,Clean energy,Environmental
97,Topic,Partnerships for sustainability,Value Chain
98,Topic,Health & wellbeing,People & Culture
98,Topic,Clean energy,Environmental
99,Topic,Health & wellbeing,People & Culture
99,Topic,Education,People & Culture
99,Topic,Climate action,Environmental
100,Topic,Clean energy,Environmental
100,Topic,Health & wellbeing,People & Culture
101,Topic,Health & wellbeing,People & Culture
101,Topic,Education,People & Culture
101,Topic,Climate action,Environmental
101,Topic,Clean energy,Environmental
101,Topic,Partnerships for sustainability,Value Chain
102,Topic,Clean energy,Environmental
102,Topic,Climate action,Environmental
102,Topic,Health & wellbeing,People & Culture
102,Topic,Education,People & Culture
103,Topic,Health & wellbeing,People & Culture
103,Topic,Education,People & Culture
103,Topic,Partnerships for sustainability,Value Chain
104,Topic,Health & wellbeing,People & Culture
104,Topic,Climate action,Environmental
104,Topic,Clean energy,Environmental
105,Topic,Health & wellbeing,People & Culture
105,Topic,Clean energy,Environmental
105,Topic,Partnerships for sustainability,Value Chain
106,Topic,Health & wellbeing,People & Culture
106,Topic,Education,People & Culture
107,Topic,Health & wellbeing,People & Culture
107,Topic,Climate action,Environmental
107,Topic,Clean energy,Environmental
107,Topic,Education,People & Culture
108,Topic,Education,People & Culture
108,Topic,Clean energy,Environmental
108,Topic,Health & wellbeing,People & Culture
109,Topic,Health & wellbeing,People & Culture
109,Topic,Education,People & Culture
109,Topic,"Diversity, equity & inclusion",People & Culture
109,Topic,Climate action,Environmental
109,Topic,Clean energy,Environmental
109,Topic,Partnerships for sustainability,Value Chain
110,Topic,Health & wellbeing,People & Culture
110,Topic,Education,People & Culture
110,Topic,Climate action,Environmental
110,Topic,Clean energy,Environmental
111,Topic,Health & wellbeing,People & Culture
111,Topic,"Diversity, equity & inclusion",People & Culture
111,Topic,Education,People & Culture
111,Topic,Climate action,Environmental
111,Topic,Clean energy,Environmental
111,Topic,Partnerships for sustainability,Value Chain
112,Topic,Climate action,Environmental
112,Topic,Clean energy,Environmental
112,Topic,Health & wellbeing,People & Culture
112,Topic,Education,People & Culture
112,Topic,"Diversity, equity & inclusion",People & Culture
114,Topic,Education,People & Culture
114,Topic,"Diversity, equity & inclusion",People & Culture
114,Topic,Climate action,Environmental
114,Topic,Clean energy,Environmental
114,Topic,Partnerships for sustainability,Value Chain
114,Topic,Health & wellbeing,People & Culture
115,Topic,Climate action,Environmental
115,Topic,Clean energy,Environmental
115,Topic,Partnerships for sustainability,Value Chain
116,Topic,Health & wellbeing,People & Culture
116,Topic,Education,People & Culture
116,Topic,Clean energy,Environmental
117,Topic,Health & wellbeing,People & Culture
117,Topic,Climate action,Environmental
117,Topic,Clean energy,Environmental
118,Topic,Health & wellbeing,People & Culture
118,Topic,"Diversity, equity & inclusion",People & Culture
118,Topic,Climate action,Environmental
118,Topic,Clean energy,Environmental
119,Topic,Health & wellbeing,People & Culture
119,Topic,Education,People & Culture
119,Topic,Climate action,Environmental
119,Topic,Clean energy,Environmental
119,Topic,"Diversity, equity & inclusion",People & Culture
120,Topic,Climate action,Environmental
120,Topic,Clean energy,Environmental
121,Topic,Climate action,Environmental
121,Topic,Clean energy,Environmental
121,Topic,Education,People & Culture
121,Topic,Health & wellbeing,People & Culture
122,Topic,"Diversity, equity & inclusion",People & Culture
122,Topic,Climate action,Environmental
123,Topic,Health & wellbeing,People & Culture
123,Topic,Education,People & Culture
123,Topic,"Diversity, equity & inclusion",People & Culture
123,Topic,Climate action,Environmental
123,Topic,Clean energy,Environmental
123,Topic,Partnerships for sustainability,Value Chain
124,Topic,Climate action,Environmental
124,Topic,Clean energy,Environmental
124,Topic,Partnerships for sustainability,Value Chain
125,Topic,"Diversity, equity & inclusion",People & Culture
125,Topic,Climate action,Environmental
125,Topic,Clean energy,Environmental
125,Topic,Partnerships for sustainability,Value Chain
125,Topic,Education,People & Culture
125,Topic,Health & wellbeing,People & Culture
126,Topic,Health & wellbeing,People & Culture
126,Topic,Climate action,Environmental
126,Topic,Clean energy,Environmental
126,Topic,Partnerships for sustainability,Value Chain
126,Topic,"Diversity, equity & inclusion",People & Culture
126,Topic,Education,People & Culture
127,Topic,Health & wellbeing,People & Culture
127,Topic,Education,People & Culture
127,Topic,"Diversity, equity & inclusion",People & Culture
127,Topic,Climate action,Environmental
127,Topic,Clean energy,Environmental
127,Topic,Partnerships for sustainability,Value Chain
128,Topic,Climate action,Environmental
128,Topic,Partnerships for sustainability,Value Chain
128,Topic,Education,People & Culture
129,Topic,Climate action,Environmental
129,Topic,"Diversity, equity & inclusion",People & Culture
129,Topic,Health & wellbeing,People & Culture
129,Topic,Education,People & Culture
129,Topic,Clean energy,Environmental
129,Topic,Partnerships for sustainability,Value Chain
130,Topic,"Diversity, equity & inclusion",People & Culture
130,Topic,Clean energy,Environmental
130,Topic,Climate action,Environmental
130,Topic,Health & wellbeing,People & Culture
131,Topic,"Diversity, equity & inclusion",People & Culture
131,Topic,Education,People & Culture
131,Topic,Health & wellbeing,People & Culture
131,Topic,Climate action,Environmental
132,Topic,Climate action,Environmental
132,Topic,Clean energy,Environmental
132,Topic,Health & wellbeing,People & Culture
133,Topic,Health & wellbeing,People & Culture
133,Topic,Education,People & Culture
133,Topic,"Diversity, equity & inclusion",People & Culture
133,Topic,Climate action,Environmental
133,Topic,Clean energy,Environmental
133,Topic,Partnerships for sustainability,Value Chain
134,Topic,Clean energy,Environmental
134,Topic,Health & wellbeing,People & Culture
134,Topic,Climate action,Environmental
135,Topic,Climate action,Environmental
135,Topic,Clean energy,Environmental
135,Topic,Health & wellbeing,People & Culture
136,Topic,Climate action,Environmental
136,Topic,Clean energy,Environmental
137,Topic,Health & wellbeing,People & Culture
137,Topic,Education,People & Culture
137,Topic,Climate action,Environmental
137,Topic,Clean energy,Environmental
138,Topic,Clean energy,Environmental
138,Topic,Education,People & Culture
138,Topic,Health & wellbeing,People & Culture
139,Topic,Climate action,Environmental
139,Topic,Clean energy,Environmental
140,Topic,Education,People & Culture
140,Topic,Health & wellbeing,People & Culture
140,Topic,Clean energy,Environmental
140,Topic,Climate action,Environmental
141,Topic,Education,People & Culture
141,Topic,"Diversity, equity & inclusion",People & Culture
141,Topic,Climate action,Environmental
141,Topic,Health & wellbeing,People & Culture
141,Topic,Clean energy,Environmental
141,Topic,Partnerships for sustainability,Value Chain
142,Topic,"Diversity, equity & inclusion",People & Culture
142,Topic,Climate action,Environmental
142,Topic,Health & wellbeing,People & Culture
142,Topic,Clean energy,Environmental
143,Topic,Education,People & Culture
143,Topic,Health & wellbeing,People & Culture
143,Topic,Clean energy,Environmental
144,Topic,"Diversity, equity & inclusion",People & Culture
144,Topic,Clean energy,Environmental
144,Topic,Partnerships for sustainability,Value Chain
144,Topic,Health & wellbeing,People & Culture
144,Topic,Education,People & Culture
145,Topic,Partnerships for sustainability,Value Chain
145,Topic,Clean energy,Environmental
145,Topic,Climate action,Environmental
145,Topic,"Diversity, equity & inclusion",People & Culture
146,Topic,Health & wellbeing,People & Culture
146,Topic,Clean energy,Environmental
147,Topic,Education,People & Culture
147,Topic,Health & wellbeing,People & Culture
147,Topic,"Diversity, equity & inclusion",People & Culture
147,Topic,Climate action,Environmental
147,Topic,Clean energy,Environmental
147,Topic,Partnerships for sustainability,Value Chain
148,Topic,Education,People & Culture
148,Topic,Climate action,Environmental
148,Topic,Clean energy,Environmental
149,Topic,Health & wellbeing,People & Culture
149,Topic,Education,People & Culture
149,Topic,Clean energy,Environmental
150,Topic,Clean energy,Environmental
150,Topic,Education,People & Culture
150,Topic,Health & wellbeing,People & Culture
150,Topic,Climate action,Environmental
151,Topic,Clean energy,Environmental
151,Topic,Health & wellbeing,People & Culture
152,Topic,Health & wellbeing,People & Culture
152,Topic,"Diversity, equity & inclusion",People & Culture
152,Topic,Climate action,Environmental
152,Topic,Clean energy,Environmental
153,Topic,Climate action,Environmental
153,Topic,Clean energy,Environmental
153,Topic,Health & wellbeing,People & Culture
154,Topic,Health & wellbeing,People & Culture
154,Topic,Clean energy,Environmental
154,Topic,"Diversity, equity & inclusion",People & Culture
155,Topic,Health & wellbeing,People & Culture
155,Topic,Education,People & Culture
155,Topic,Climate action,Environmental
155,Topic,Clean energy,Environmental
155,Topic,Partnerships for sustainability,Value Chain
155,Topic,"Diversity, equity & inclusion",People & Culture
156,Topic,Health & wellbeing,People & Culture
156,Topic,Education,People & Culture
156,Topic,"Diversity, equity & inclusion",People & Culture
156,Topic,Climate action,Environmental
156,Topic,Clean energy,Environmental
156,Topic,Partnerships for sustainability,Value Chain
157,Topic,Clean energy,Environmental
158,Topic,Health & wellbeing,People & Culture
158,Topic,Clean energy,Environmental
158,Topic,Education,People & Culture
158,Topic,Partnerships for sustainability,Value Chain
159,Topic,Climate action,Environmental
159,Topic,Clean energy,Environmental
160,Topic,Health & wellbeing,People & Culture
160,Topic,Education,People & Culture
160,Topic,Clean energy,Environmental
160,Topic,"Diversity, equity & inclusion",People & Culture
161,Topic,Health & wellbeing,People & Culture
161,Topic,Education,People & Culture
161,Topic,"Diversity, equity & inclusion",People & Culture
161,Topic,Climate action,Environmental
161,Topic,Clean energy,Environmental
161,Topic,Partnerships for sustainability,Value Chain
162,Topic,Climate action,Environmental
162,Topic,Clean energy,Environmental
162,Topic,Health & wellbeing,People & Culture
163,Topic,Clean energy,Environmental
163,Topic,Education,People & Culture
164,Topic,Climate action,Environmental
164,Topic,Clean energy,Environmental
164,Topic,Health & wellbeing,People & Culture
165,Topic,Health & wellbeing,People & Culture
165,Topic,Education,People & Culture
165,Topic,Climate action,Environmental
166,Topic,Health & wellbeing,People & Culture
166,Topic,"Diversity, equity & inclusion",People & Culture
166,Topic,Climate action,Environmental
167,Topic,Health & wellbeing,People & Culture
167,Topic,Climate action,Environmental
167,Topic,Clean energy,Environmental
168,Topic,Health & wellbeing,People & Culture
168,Topic,"Diversity, equity & inclusion",People & Culture
168,Topic,Climate action,Environmental
168,Topic,Clean energy,Environmental
169,Topic,Education,People & Culture
169,Topic,Clean energy,Environmental
169,Topic,Health & wellbeing,People & Culture
3,Initiative,Innovative sustainable IT solutions,Environmental
3,Initiative,Employee sustainability trainings,People & Culture
3,Initiative,Community outreach programs,People & Culture
4,Initiative,Innovative sustainable IT solutions,Environmental
4,Initiative,Shift to renewable energies,Environmental
5,Initiative,Innovative sustainable IT solutions,Environmental
6,Initiative,Innovative sustainable IT solutions,Environmental
6,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
6,Initiative,Employee sustainability trainings,People & Culture
9,Initiative,Innovative sustainable IT solutions,Environmental
9,Initiative,Shift to renewable energies,Environmental
11,Initiative,Innovative sustainable IT solutions,Environmental
12,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
12,Initiative,Shift to renewable energies,Environmental
13,Initiative,Shift to renewable energies,Environmental
14,Initiative,Innovative sustainable IT solutions,Environmental
20,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
20,Initiative,Innovative sustainable IT solutions,Environmental
20,Initiative,Employee sustainability trainings,People & Culture
20,Initiative,Shift to renewable energies,Environmental
22,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
22,Initiative,Community outreach programs,People & Culture
22,Initiative,Shift to renewable energies,Environmental
22,Initiative,Employee sustainability trainings,People & Culture
24,Initiative,Employee sustainability trainings,People & Culture
24,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
24,Initiative,active promotion of more diversity in management,Other
25,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
26,Initiative,Innovative sustainable IT solutions,Environmental
26,Initiative,Shift to renewable energies,Environmental
26,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
26,Initiative,Community outreach programs,People & Culture
27,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
27,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
27,Initiative,Employee sustainability trainings,People & Culture
28,Initiative,Community outreach programs,People & Culture
28,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
31,Initiative,Innovative sustainable IT solutions,Environmental
33,Initiative,Innovative sustainable IT solutions,Environmental
33,Initiative,Shift to renewable energies,Environmental
33,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
34,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
34,Initiative,Shift to renewable energies,Environmental
34,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
35,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
35,Initiative,Innovative sustainable IT solutions,Environmental
35,Initiative,Shift to renewable energies,Environmental
35,Initiative,Employee sustainability trainings,People & Culture
36,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
37,Initiative,Innovative sustainable IT solutions,Environmental
37,Initiative,Shift to renewable energies,Environmental
37,Initiative,Employee sustainability trainings,People & Culture
38,Initiative,Shift to renewable energies,Environmental
38,Initiative,Employee sustainability trainings,People & Culture
39,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
39,Initiative,Community outreach programs,People & Culture
39,Initiative,Innovative sustainable IT solutions,Environmental
39,Initiative,Shift to renewable energies,Environmental
39,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
39,Initiative,Employee sustainability trainings,People & Culture
40,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
40,Initiative,Innovative sustainable IT solutions,Environmental
40,Initiative,Shift to renewable energies,Environmental
40,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
40,Initiative,Employee sustainability trainings,People & Culture
41,Initiative,Community outreach programs,People & Culture
41,Initiative,Innovative sustainable IT solutions,Environmental
42,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
42,Initiative,Shift to renewable energies,Environmental
42,Initiative,Employee sustainability trainings,People & Culture
43,Initiative,Innovative sustainable IT solutions,Environmental
43,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
43,Initiative,Employee sustainability trainings,People & Culture
44,Initiative,Employee sustainability trainings,People & Culture
44,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
44,Initiative,Shift to renewable energies,Environmental
44,Initiative,Innovative sustainable IT solutions,Environmental
45,Initiative,Innovative sustainable IT solutions,Environmental
45,Initiative,Shift to renewable energies,Environmental
45,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
46,Initiative,Shift to renewable energies,Environmental
47,Initiative,Innovative sustainable IT solutions,Environmental
48,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
48,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
49,Initiative,Innovative sustainable IT solutions,Environmental
50,Initiative,Innovative sustainable IT solutions,Environmental
50,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
50,Initiative,Shift to renewable energies,Environmental
51,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
51,Initiative,Innovative sustainable IT solutions,Environmental
51,Initiative,Employee sustainability trainings,People & Culture
52,Initiative,Community outreach programs,People & Culture
52,Initiative,Employee sustainability trainings,People & Culture
52,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
53,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
54,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
54,Initiative,Innovative sustainable IT solutions,Environmental
54,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
54,Initiative,"Currently D&I is too focused on women in IT, no action are taken to also include actions for employees with an age of +55 or for disabled people or for people with another religion",Other
55,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
55,Initiative,Innovative sustainable IT solutions,Environmental
55,Initiative,Shift to renewable energies,Environmental
56,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
56,Initiative,Innovative sustainable IT solutions,Environmental
56,Initiative,"Less gifts (always many left over), maybe let colleagues sign in first IF they want to receive a DLW gift?",Other
57,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
57,Initiative,Community outreach programs,People & Culture
58,Initiative,Community outreach programs,People & Culture
58,Initiative,Shift to renewable energies,Environmental
58,Initiative,Innovative sustainable IT solutions,Environmental
58,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
59,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
59,Initiative,Shift to renewable energies,Environmental
59,Initiative,Innovative sustainable IT solutions,Environmental
60,Initiative,Community outreach programs,People & Culture
60,Initiative,Shift to renewable energies,Environmental
60,Initiative,Employee sustainability trainings,People & Culture
61,Initiative,Innovative sustainable IT solutions,Environmental
61,Initiative,Awareness campaigns on diversity and inclusion,People & Culture
61,Initiative,Employee sustainability trainings,People & Culture
61,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
62,Initiative,Reduction of greenhouse gas emissions in business travel,Environmental
62,Initiative,Community outreach programs,People & Culture
62,Initiative,Innovative sustainable IT solutions,Environmental
62,Initiative,Shift to renewable energies,Environmental
62,Initiative,Employee sustainability trainings,People & Culture
